tokenId,L01,L02,L03,L04,L05,L06,L07,domain,color,replceable,replaced,,
41,17,9,9,9,15,9,17,0,2,1,,,
42,17,18,19,19,18,18,17,0,9,3,,,
43,18,19,9,19,18,18,19,0,0,2,,,
44,15,17,19,19,19,17,17,0,6,4,,,
45,17,18,21,21,21,18,17,0,3,3,,,Gen 3
46,21,18,18,18,17,18,17,0,0,1,,,
47,19,9,9,9,18,19,9,0,4,1,,,
48,18,19,9,9,9,19,19,0,9,1,,,
49,15,15,18,15,21,21,15,0,4,3,,,
50,18,17,17,17,9,9,9,0,9,0,,,
51,9,21,17,17,17,21,21,0,9,2,,,
52,17,17,9,18,17,18,18,0,7,3,,,
53,19,19,19,17,19,18,17,0,6,2,,,
54,18,18,19,21,18,18,21,0,3,1,,,
55,21,21,18,19,21,19,19,0,9,4,,,
56,15,18,9,18,15,9,18,0,7,2,,,
57,8,23,7,8,8,23,7,1,1,3,,,
58,12,12,12,7,8,12,8,1,4,4,,,
59,12,7,7,23,12,23,7,1,5,2,,,
60,12,5,23,5,23,12,5,1,2,3,,,
61,7,7,23,7,5,5,7,1,9,3,,,
62,12,8,8,12,12,8,22,1,5,2,,,
63,7,7,23,12,23,7,12,1,7,4,,,
64,7,5,7,7,8,7,7,1,2,4,,,
65,7,5,7,22,7,7,7,1,4,4,,,
66,8,8,8,22,7,8,8,1,8,3,,,
67,7,7,22,22,7,8,7,1,1,4,,,
68,5,12,12,5,7,12,7,1,2,4,,,
69,5,22,5,12,12,5,22,1,2,2,,,
70,7,7,12,12,23,12,23,1,9,4,,,
71,7,7,22,8,22,7,7,1,2,4,,,
72,12,8,8,12,7,8,12,1,3,4,,,
73,5,5,5,23,5,8,23,1,3,2,,,
74,22,7,22,7,12,7,12,1,4,4,,,
75,8,23,23,23,23,22,8,1,4,1,,,
76,23,23,22,22,22,5,22,1,1,3,,,
77,8,22,8,7,7,22,7,1,5,4,,,
78,8,7,7,8,8,5,8,1,5,2,,,
79,22,7,12,22,7,12,22,1,6,4,,,
80,22,23,12,22,22,23,22,1,3,4,,,
81,13,10,13,3,10,3,3,2,8,0,,,
82,14,24,14,14,10,24,10,2,6,1,,,
83,24,24,24,14,13,13,24,2,8,1,,,
84,10,1,1,10,13,13,1,2,6,0,,,
85,24,13,10,10,24,13,10,2,2,2,,,
86,1,24,1,1,13,13,1,2,6,1,,,
87,13,13,10,1,10,10,10,2,2,0,,,
88,3,14,14,24,14,3,24,2,2,2,,,
89,1,10,10,10,1,1,24,2,6,1,,,
90,14,3,1,1,1,1,1,2,9,0,,,
91,3,14,3,10,3,10,3,2,8,0,,,
92,10,1,10,1,3,3,3,2,2,0,,,
93,14,13,14,1,14,13,14,2,4,2,,,
94,1,13,14,13,13,14,1,2,3,1,,,
95,3,10,10,3,3,1,1,2,5,0,,,
96,13,24,24,1,13,1,1,2,4,0,,,
97,3,10,14,10,10,14,14,2,5,1,,,
98,13,10,14,13,14,10,13,2,3,1,,,
99,3,1,1,24,24,24,24,2,9,3,,,
100,1,1,1,14,1,13,13,2,7,1,,,
101,10,1,10,3,10,10,3,2,8,0,,,
102,3,14,14,13,13,14,14,2,3,1,,,
103,14,13,1,14,14,1,13,2,3,1,,,
104,3,3,14,14,13,13,3,2,0,0,,,
105,6,2,4,6,4,4,6,3,0,3,,,
106,6,2,2,11,2,6,2,3,3,2,,,
107,2,4,16,4,16,2,2,3,4,3,,,
108,6,2,2,6,20,2,20,3,2,2,,,
109,16,4,6,16,4,16,16,3,6,3,,,
110,6,20,11,11,6,11,6,3,9,2,,,
111,11,6,4,11,6,6,6,3,1,3,,,
112,20,20,11,16,11,16,16,3,3,2,,,
113,20,2,2,6,2,2,20,3,6,2,,,
114,2,2,4,4,20,20,20,3,6,4,,,
115,6,2,2,6,16,2,2,3,9,1,,,
116,20,2,2,20,11,11,11,3,3,2,,,
117,16,16,2,4,4,4,16,3,3,1,,,
118,6,6,6,2,6,20,2,3,3,2,,,
119,6,20,6,11,6,6,20,3,0,2,,,
120,4,16,2,16,4,2,2,3,1,4,,,
121,16,6,6,20,16,16,20,3,5,1,,,
122,20,20,11,2,11,2,2,3,1,3,,,
123,6,2,16,2,6,16,2,3,1,2,,,
124,6,11,2,2,11,6,2,3,0,3,,,
125,16,6,16,16,6,20,16,3,7,1,,,
126,4,11,11,4,2,2,11,3,0,1,,,
127,4,6,11,11,11,11,11,3,6,2,,,
128,11,2,11,16,2,2,2,3,8,2,,,
129,7,22,13,23,23,5,9,0,7,2,,,
130,12,3,4,4,21,17,11,0,2,4,,,
131,12,6,17,7,10,8,12,3,0,3,,,
132,21,8,22,22,1,15,1,2,1,3,,,
133,22,10,12b,4,16,14,10,1,3,1,L03E012,,
134,1,15,17,4,3,7b,20b,0,4,3,"L07E020,L06E007",,
135,20,8,6,23,17,1,3,0,1,1,,,
136,3,13,9,18,14,9,14,3,6,2,,,
137,3,22,13,11,19,3,24,1,6,2,,,
138,3,23,17,17,23,8,15,1,2,0,,,
139,15,10,16,16,22,5,16,0,1,3,,,
140,6,20,24,24,14,12,5,3,7,4,,,
141,6,20,24,13,9,6b,21,1,1,1,L06E006,,
142,1,22,8,19,5,13,19,0,3,4,,,
143,4,19,6,4,23,24,19,3,8,2,,,
144,10,14,19,1,11,15b,22,0,8,1,L06E015,,
145,22,21,21,8,20,4,2,3,5,3,,,
146,12,5,3,14,24b,15,18b,0,4,3,"L07E018,L05E024",,
147,14,1,14,15,5b,5,21,2,4,1,L05E005,,
148,18,9,2,17,14,3,12,0,0,2,,,
149,20,15,22,18,23,23,8,1,2,3,,,
150,12,8,10,4,2,7,12,2,0,3,,,
151,15,10,10,3,4,20,24,1,9,2,,,
152,16,18,3,24,21,6,10,0,4,3,,,
153,7,12,14,9,6,24,22,2,1,3,,,
154,4,23,13,13,22,15,13,1,2,3,,,
155,18,18,19,24,9,18,19,3,1,2,,,
156,18,9,20,1,1,23,3,3,1,1,,,
157,14,14,16,1,21,18,18,1,7,3,,,
158,11,24,20,23,21,7,2,2,2,3,,,
159,2,12,15,4,6,11,19,0,5,3,,,
160,6,20,5,13,24,4,9,3,2,1,,,
161,23,8,8,7,6,19,14,1,6,3,,,
162,18,11,2,18,11,18,13,1,3,1,,,
163,1,10,20,21,11,16,14,3,2,2,,,
164,5,23,10,24b,22,6b,7,3,6,3,"L06E006,L04E024",,
165,9,13,16,11,10,15b,13,3,9,1,L06E015,,
166,20,8,10,1,11,9,7,3,7,1,,,
167,24,13,11,5,12,9,13,2,9,1,,,
168,17,12,11,5,19,7,21,0,1,4,,,
169,20,12,9,14,12,15,20,0,8,4,,,
170,19,3,19,12,6,7,7,0,7,2,,,
171,4b,17,3,19,21b,21b,18b,1,5,3,"L06E021,L07E018,L05E021,L01E004",,
172,10,18,5,13,19,8,9,3,7,1,,,
173,9,3,3,9,2,24b,19,0,7,1,L06E024,,
174,8,21,7,16,17,10,8,2,1,3,,,
175,18,1,11,11,2,11b,9,1,9,1,L06E011,,
176,5,21,3,12,10,13,2,2,2,3,,,
177,12,7,14,22,3,18,19,3,3,3,,,
178,5,22,7,17,13,23,15,0,1,2,,,
179,11,1,7,24,3,22,20,0,2,2,,,
180,22,4,18,22,21,2,2,0,6,4,,,
181,10,11,14,24,4,7,9,2,6,3,,,
182,22,18,12,17,8,9,11,2,1,2,,,
183,2,2,19,5,13,18,21,0,0,2,,,
184,13,2,22,14,22,18,12,1,5,4,,,
185,16,4,5,9,23,16,1,3,9,1,,,
186,13,10,19,24b,23,20,23b,3,3,2,"L07E023,L04E024",,
187,22,22,16,24,20,5,6,0,3,4,,,
188,16,15,6,20,1,13,3,3,5,0,,,
189,13,14,22,9,2,22,5,3,4,2,,,
190,17,14,24,15,24,11,7,0,6,3,,,
191,23,19,21,2,8,14,20,3,1,3,,,
192,2,6,21,2,6,16,24,1,0,2,,,
193,1,8,22,11,6,24,21,1,7,3,,,
194,14,11,9,9,11,8,1,3,1,0,,,
195,1,21,5,22,23,2,3,0,5,3,,,
196,9,18,21,10,6,19b,9,0,5,1,L06E019,,
197,2b,23,2,6,2,16,9,3,0,1,L01E002,,
198,23,5,10,19,7,6,2,0,7,4,,,
199,12,14,10,2,23,9,12,2,8,3,,,
200,1,10,16,24,2,3,2,1,4,3,,,
201,14,6,12,19,5,20,19,2,2,3,,,
202,9,17,21,12b,9,1,9,1,6,1,L04E012,,
203,4,12,9,17,22,15,16,2,4,4,,,
204,8,22,12,17,14b,20,12b,3,1,4,"L05E014,L07E012",,
205,6,13,17,5,14,18,21,1,0,2,,,
206,5,3,14,18,5,16,16,0,5,1,,,
207,17,16,21,11,20,8,5,2,0,3,,,
208,24,24,17,20,20,22,17,0,3,2,,,
209,3,1,20,12,18,21,13,0,2,2,,,
210,4,7,16,4,22,1,8,3,0,2,,,
211,4,8,2,7,7,9,22,0,1,3,,,
212,5,12,18,13,7,13,9,0,1,2,,,
213,23,7,5,16,18,8,5,0,6,2,,,
214,16,3,19,3,23,4,24,2,6,0,,,
215,17,22,4,2,8,10,20,3,3,4,,,
216,15,21,11,14,5,19,21,2,8,4,,,
217,15,7,8,11,21,23,2,3,8,4,,,
218,5,6,9,14,17,18b,16,2,1,1,L06E018,,
219,18,13,21,10,17,4,5b,0,4,1,L07E005,,
220,5,7,1,21,21,7,9,1,7,2,,,
221,12,7,14,16,20,8,10,0,1,3,,,
222,7,7,18,13,24,7,11,3,8,3,,,
223,8,13,18,3,10,10,21,2,5,1,,,
224,10,20,14,12,20,15,5,0,3,4,,,
225,1,19,7,7,5,2,2,2,3,4,,,
226,1,20,24,9,23,9,15,3,5,1,,,
227,21,4,14,22,1,12,5,3,6,4,,,
228,16,4,24,22,5,24,19,0,8,4,,,
229,8,13,5,2,9,15,20,0,5,4,,,
230,24,6,6,22,20,9,12,3,5,4,,,
231,11,7,11,19b,18,20,8,1,2,1,L04E019,,
232,17,24,10,10,20,1,6,1,0,3,,,
233,15,4,11,7,17,8,20,3,1,4,,,
234,4,2,14,5,2,19,6,1,8,3,,,
235,15,10,21,11,5,11,3,3,1,3,,,
236,2,21,4,3,4,19,4,2,3,4,,,
237,18,2,7,3,24,17,7,2,6,2,,,
238,19,7,12,20,17,11,5,1,9,3,,,
239,1,21,24,4,16,23,15,3,6,3,,,
240,12,20,6,23,16,19,19,0,8,2,,,
241,19,24,20,18,3,10,24,0,6,0,,,
242,9,7,17,17,5,14,12,3,7,2,,,
243,16,24,17,17,23,21b,7,0,3,1,L06E021,,
244,18,10,1,9,21b,2,9,3,4,1,L05E021,,
245,21,11,11,5,16,16,17,0,9,0,,,
246,2b,10,19,16,22,11b,3,0,0,3,"L01E002,L06E011",,
247,9,2,13,19,20,8,13,2,1,2,,,
248,20b,15,24,16,8,17b,13,0,7,4,"L06E017,L01E020",,
249,8,12,18,14,7,24,10,0,6,4,,,
250,9,8,5,2b,9,9,13,1,5,1,L04E002,,
251,11,22,15,13,12,11,6,1,8,3,,,
252,6,20,2,21,10,11,21,2,8,1,,,
253,19,8,3,8,23,8,24,0,8,0,,,
254,23,21,13,23,20,3,24,2,7,2,,,
255,20b,1,9,19b,19,12,18,1,8,4,"L04E019,L01E020",,
256,20,11,7,21,1,19,24,1,4,2,,,
257,10,14,5,1,4,12,17,0,3,2,,,
258,20,1,14,16,23,24,11,0,8,3,,,
259,18,1,16,14,16,1,15,3,4,0,,,
260,12,8,7,11,23,4,18,2,7,2,,,
261,16,18,13,15,23,16,12b,1,3,1,L07E012,,
262,24,21,16,4,6,19,3,3,3,3,,,
263,11,16,8,1,19,11,21,2,5,2,,,
264,21,10,12,22,1,9,13,2,0,2,,,
265,6,12,24,24,19,7,13,1,2,4,,,
266,1,14,12,21,2,7,24,3,2,3,,,
267,12,8,6,22,19,17,5,1,2,4,,,
268,6,16,19,16,5,21,17,3,8,3,,,
269,10,16,6,16,11,3,16,1,0,1,,,
270,23,24,24,10,21,17,21,3,7,2,,,
271,7,18,6,18,2,11,12,2,9,3,,,
272,13,15,6,14,1,8,9,0,9,0,,,
273,1,5,15,3,5,17,19,1,1,3,,,
274,13,13,12,6,16,7,17,2,7,2,,,
275,6,17,19,7,10,21,12,0,1,3,,,
276,9,23,12,17,23,19,17,0,8,2,,,
277,13,19,4,3,16,4,20,0,0,2,,,
278,7,16,14,1,19,8,7,0,9,2,,,
279,5,1,23,5,7,4,23,1,7,2,,,
280,11,21,4,8,1,7,23,2,5,4,,,
281,13,18,8,12,19,9,6,0,5,3,,,
282,8,14,7,15,16,21,11,1,6,2,,,
283,13,16,21,5,9,16,2,2,3,1,,,
284,23,5,10,18,4,8,22,3,8,1,,,
285,12,22,23,11,12,17,15,2,9,3,,,
286,18,1,16,5,4,19,19,1,6,2,,,
287,1b,24,16,15,11,1,15,1,4,1,L01E001,,
288,16,8,15,19,8,10,21,1,0,2,,,
289,22,2,2,21,7b,10,11,3,0,1,L05E007,,
290,7,1,13,11,15,23,21,2,7,2,,,
291,12,20,15,4,8,7,12,0,7,4,,,
292,17,10,22,14,14,6,17,0,1,4,,,
293,10,23,9,5,24,17,18,0,9,3,,,
294,22,16,7,7,6,14,19,3,0,1,,,
295,17,15,10,13,20,4,4,2,3,3,,,
296,3,17,20,20,1,21,12,1,4,2,,,
297,11,18,16,12b,16,4,1,0,8,1,L04E012,,
298,20,8,6,3,20,19,7,2,6,3,,,
299,15,14,20,3,10,18,19,1,2,2,,,
300,3,21,15,15,15,13,20,3,2,2,,,
301,4,18,12,24,15,8,4,0,9,4,,,
302,11,21,3,9,9,8,23,1,2,2,,,
303,3,21,20,11,18,11,13,3,7,2,,,
304,16,6,11,16b,16,9,7,1,2,1,L04E016,,
305,24,11,14,2,15,22,16,2,5,2,,,
306,19,13,17,3,9,7,19,2,7,1,,,
307,22,10,19,11,20,7,17,2,7,2,,,
308,12,3,18,9,22,6,10,2,1,3,,,
309,8,6,9,20,22,16,24,0,1,2,,,
310,19,14,13,20,20,17,4,3,4,3,,,
311,22,15,15,2,16,24,11,2,7,2,,,
312,15b,22,3,4,20b,3,10,3,1,3,"L01E015,L05E020",,
313,7b,6,15,10,2,22,15,3,1,1,L01E007,,
314,16,12,1,6,1,19,13,2,3,2,,,
315,24,22,22,5,2,13,1,2,8,3,,,
316,3,8,15,13,13,17,15,3,1,1,,,
317,12,16,14,17,13,18,12,1,6,3,,,
318,1,2,10,8,12,1,1,3,7,1,,,
319,1,2,24,4,10,12,2,0,9,3,,,
320,20b,8,7,10,6,8,15,3,8,1,L01E020,,
321,18,9,14,18,8,7,5,1,0,3,,,
322,2,17,21,13,6,17,19,2,1,2,,,
323,3,8,3,24,14,24,19,0,3,3,,,
324,7,2,20,14,19,17,6,2,8,4,,,
325,20,6,15,2,20,3,1,2,4,3,,,
326,19,17,9,2,16,1,21,3,5,1,,,
327,15,19,19,14,6,23,24,3,0,2,,,
328,12,6,11,13,8,16,9,1,6,2,,,
329,9,11,16,8,3,4,22,3,3,0,,,
330,21,6,1,10,24,15,2,0,0,3,,,
331,11,16,9,23,20,14,20,1,1,2,,,
332,7,10,9,5,12,23,8,2,5,2,,,
333,13,22,3,19,7,2,18,3,4,4,,,
334,8,24,15,11,6,14,23,2,5,2,,,
335,23,6,6,17,5,18,9,3,4,2,,,
336,10,2,10,21,13,11,24,2,8,1,,,
337,20,18,22,8,21,21,14,1,5,4,,,
338,11,21,11,22,19,10,1,2,9,3,,,
339,19,17,9,15,18,19b,15,0,4,1,L06E019,,
340,22,24,23,8,14,21,9,0,6,2,,,
341,7,13,2,12,5,4,20,1,8,4,,,
342,5,11,2,22,6,9,8,3,8,1,,,
343,10,14,16,7,2,3,18,0,9,2,,,
344,6,6,13,8,14,11,23,3,1,3,,,
345,14,3,1,14,5,18,16,1,2,2,,,
346,23,10,21,15,7b,8,19,3,6,1,L05E007,,
347,22,4,8,2,8,6,14,2,4,4,,,
348,8,4,1,18,2,1,10,1,3,2,,,
349,5,17,18,21,22,9,1,1,9,1,,,
350,24,7,21,8,21,4,16,3,0,2,,,
351,21,24,17,16,19,1,3,2,1,2,,,
352,8,22,18,15,18,13,9,0,9,2,,,
353,4,22,1,15,19,20,24,2,2,3,,,
354,23,22,9,17,7,8,3,1,7,2,,,
355,5,20,1,1,4,10,21,2,7,1,,,
356,13,16,16,7b,17,4,13,1,6,1,L04E007,,
357,21,10,2,7,22,21,12,3,9,4,,,
358,20,10,19,2,8,15,21,3,6,4,,,
359,19,10,16,10,13,13,3,1,5,0,,,
360,2,2,23,11,9,18,5,0,1,3,,,
361,14,4,1,22,18,7,9,2,9,3,,,
362,13,17,9,18,8b,19,23b,2,1,3,"L07E023,L05E008",,
363,9,17,8,5,16,4,12b,3,4,1,L07E012,,
364,18,15,9,19,19,14,15,0,8,2,,,
365,17b,19,15,18,13,12b,15,0,8,2,"L06E012,L01E017",,
366,24,13,16,16,21,10,11,0,0,3,,,
367,23,19,12,6,3,11,14,0,1,3,,,
368,4,11,10,21,16,15,5,3,0,3,,,
369,20,21,15,12,21,1,14,3,9,4,,,
370,23,13,23,24,18,22,20,2,8,2,,,
371,10,22,24,21,24,5,23,1,9,3,,,
372,2,9,8,19b,19b,12,5,1,7,4,"L04E019,L05E019",,
373,9,24,23,7,6,12,21,2,9,2,,,
374,9,2,16,20,24,22,2,2,8,2,,,
375,11,24,16,13,2,2,1,1,5,0,,,
376,11,5,12,19,8,6,8,2,5,4,,,
377,20,9,16,20,20,15,7,3,0,3,,,
378,3,3,2,17,22,1,2,0,5,2,,,
379,15,16,17,14,10,7,5,3,9,3,,,
380,5,4,10,12,13,2,18,3,3,3,,,
381,23,3,6,18,7,5,8,0,2,1,,,
382,6,15,15,12,3,3,2,3,5,2,,,
383,10,8,19,4,5,23,16,2,5,2,,,
384,3,10,10,3,14,8,20,0,8,2,,,
385,17,9,14,21,3,22,16,1,9,1,,,
386,6,8,20,7,6,22,4,3,3,2,,,
387,3,16,11,24,20,20,4,0,4,3,,,
388,6,16,12b,23,17,20,24,0,5,1,L03E012,,
389,16,10,11,8,24,12,10,0,5,2,,,
390,23,8,16,18,2,11,20,3,2,2,,,
391,7,8,18,23,16,5,6,0,8,2,,,
392,2,17,16,17,19,10,2,2,9,3,,,
393,16,16,21,9,10,17,7,3,8,1,,,
394,10,19,19,23,10,4,8,2,9,0,,,
395,10,9,19,8,8,9,5,1,6,2,,,
396,22,3,5,22,24,24,13,2,4,3,,,
397,18,16,14,5,7,9,23,2,0,2,,,
398,13,4,4,11,18,7,4,0,2,4,,,
399,23,24,5,18,13,10,21,3,5,0,,,
400,8,8,3,9,19,5,24,3,4,2,,,
401,11,2,21,16,5,7,1,1,3,3,,,
402,10,19,14,19,17,17,7,1,9,2,,,
403,21,15,5,4,10,3,9,0,6,0,,,
404,22,13,16,23,21b,13,15,3,7,1,L05E021,,
405,6,14,21,4,22b,4,8,0,1,1,L05E022,,
406,17,3,10,9,11,22,20,0,4,2,,,
407,15,13,20,4,5,18,22,2,6,3,,,
408,5,16,18,5,5,13,2,3,0,2,,,
409,12,18,18,22,24,22,17,0,2,3,,,
410,23,18,11,6,14b,8,3,2,3,1,L05E014,,
411,3,9,17,23,2,8,14,2,2,1,,,
412,8,8,20,7,13,2,21,1,7,2,,,
413,3,16,24,23,17,16,4b,2,9,1,L07E004,,
414,4,4,4,1,17,19,23,2,5,4,,,
415,15,10,3,13,15,2,20,2,3,2,,,
416,12,20,1,4,12,17,22,1,7,2,,,
417,1,19,13,9,19,14,20,0,0,3,,,
418,4,12,5,18,1,4,5,1,0,3,,,
419,17b,16,18,16,14,2,18b,3,9,4,"L07E018,L01E017",,
420,6,23,9,22,8,5,12,1,7,3,,,
421,1,3,7,7b,5b,21,20,1,9,4,"L04E007,L05E005",,
422,24,2,12,8,2,4,2,2,1,3,,,
423,6,1,8,15,2,14,11,2,6,0,,,
424,3,21,2,4,12,18,10,1,7,2,,,
425,21,18,3,13,5,6,2,3,0,3,,,
426,23,10,5,19b,6,5,15,0,3,1,L04E019,,
427,8b,6,1,8,17,8,3,1,9,1,L01E008,,
428,9,21,22,9,8,4,19,0,0,3,,,
429,20,6,14,1,9,2,14,0,0,2,,,
430,6,11,11,8,18,20,11,1,5,0,,,
431,23,13,17,7,7,14,20,3,5,3,,,
432,22,15,19,20,24,7,9,1,7,2,,,
433,20,15,5,22,9,17,3,1,0,3,,,
434,6,12,8,20,24b,21b,16,2,0,2,"L05E024,L06E021",,
435,17,18,11,22,6,3,7,2,0,2,,,
436,23,15,15,13,2,5,23b,2,9,1,L07E023,,
437,15,19,6,16,18,20,5,0,8,3,,,
438,18,15,14,20,22,2,17,2,6,1,,,
439,3,18,15,23,4b,10,21,1,9,1,L05E004,,
440,18,17,12b,1,1,16,9,1,1,1,L03E012,,
441,20,7,15,7,3,5,7,1,8,2,,,
442,19,1,22,18,5,15,11,3,8,3,,,
443,17b,9,2,23,13,4,15,3,4,1,L01E017,,
444,19,19,21,20,16,24,14,2,0,2,,,
445,24,3,8,14,20,24,22,2,9,3,,,
446,24,16,19,9,15,8,11,3,0,1,,,
447,22,24,12,2,8,8,21,3,1,3,,,
448,1,23,3,16,16,23,15,1,4,3,,,
449,12,14,12,4,2,11,5,3,2,4,,,
450,20,16,3,19,9,15,21,0,7,3,,,
451,15,14,17,7,17,14,1,1,3,2,,,
452,9,6,16,6,6,9,14b,1,0,1,L07E014,,
453,1,21,5,4,15,17,5,1,1,4,,,
454,4,11,14,19,8,19,21,3,4,4,,,
455,16,12,5,8,7,1,1,2,3,2,,,
456,7,1,10,9,10,12,10,1,9,2,,,
457,18,21,1,16,1,18,18,2,4,4,,,
458,13,23,13,6,1,8,3,0,4,0,,,
459,23,3,21,13,6,11b,17,3,7,1,L06E011,,
460,16,19,19,21,1,9,17,2,1,0,,,
461,7b,7,21,21,12,9,9,0,2,1,L01E007,,
462,9,16,8,16,10,17,11,3,1,2,,,
463,20,24,22,7,24,10,8,3,6,4,,,
464,21,21,14,15,7,16,6,2,9,3,,,
465,1,16,9,21,6,15,6,0,4,3,,,
466,23,6,7,5,1,11,14,3,6,2,,,
467,24,11,17,13,2,18,6,1,5,3,,,
468,2b,13,5,4,1,10,10,2,8,1,L01E002,,
469,4b,14,23,20,16,14,24,3,6,1,L01E004,,
470,8,18,19,8,19,8,14,0,0,3,,,
471,22,22,2,15,12,14,9,1,2,1,,,
472,23,14,8,9,2,15,9,2,6,1,,,
473,16,19,5,16,11,19,4,2,2,3,,,
474,10,19,8,22,22,24,5,2,1,4,,,
475,1,2,18,1,3,10,15,2,0,1,,,
476,15,11,3,15,8,10,17,3,7,2,,,
477,18,7,2,17,24,13,18,1,4,2,,,
478,16,24,20,5,11,14,11,3,0,0,,,
479,11,4,21,13,19,18,16,1,1,3,,,
480,3,2,17,11,17,10,22,0,0,0,,,
481,21,10,5,18,17,3,16,1,8,0,,,
482,10,22,20,17,7,23,23,0,0,4,,,
483,24,16,21,11,18,18,5,3,6,3,,,
484,20,11,1,8,2,18b,18b,3,4,3,"L06E018,L07E018",,
485,22,16,20,7,3,19,6,0,8,3,,,
486,15,23,8,14,6,19,1,1,8,2,,,
487,5,18,20,2,22,7,18,1,0,4,,,
488,6,10,3,14,13,21,5,3,8,2,,,
489,2,23,7,1,7,6,19,3,1,3,,,
490,3,2,7,6,7b,20,15,1,0,1,L05E007,,
491,8b,5,8,23,6,22,3,3,9,1,L01E008,,
492,12,4,24,12,8,7,3,3,7,4,,,
493,7,18,23,6,24,17,2,1,4,4,,,
494,4,13,12,10,22,15,6,1,5,4,,,
495,7,15,18,14,6,10,23,2,4,2,,,
496,20,15,7,19,4,4,24,1,9,3,,,
497,5,1,9,16,3,1,5,2,5,2,,,
498,21,1,15,23,9,23,5,3,3,2,,,
499,2,15,21,24,16,7,12,1,6,4,,,
500,11,9,9,5,12,1,1,3,2,0,,,
501,3,7,24,12,5,8,3,0,5,2,,,
502,17,3,11,23,14,9,20,1,8,3,,,
503,10,12,5,3,21,20,17,2,2,2,,,
504,24,9,22,22,21,2,22,0,5,4,,,
505,22,5,3,11,10,11,2,0,9,2,,,
506,17b,19,7,6,1,2,11,0,0,1,L01E017,,
507,5,8,6,7,16,24,2,2,3,3,,,
508,23,24,7,24,7,5,11,0,6,2,,,
509,23,17,7,8,4,19,20,2,9,3,,,
510,9,20,13,16,17,15,15,1,8,2,,,
511,2,19,11,4,20,8,24,2,5,2,,,
512,24,12,9,20,15,18,4,0,1,4,,,
513,17,23,17,14,22,13,8,2,7,2,,,
514,2,9,4,22,2,6,3,2,5,4,,,
515,2,22,2,18,17,8,13,1,4,2,,,
516,23,16,11,19,11,13,19,1,7,1,,,
517,24,2,17,7,10,3,13,2,8,2,,,
518,17,24,8,24,13,16,19,0,1,2,,,
519,11,9,14,9,20,9,5,1,4,2,,,
520,22,17,21,3,8b,2,11,2,8,1,L05E008,,
521,1,11,14,21,19b,23b,3,2,7,2,"L05E019,L06E023",,
522,22,18,15,7,2,22,9,2,4,1,,,
523,1,14,10,18,23,11,18,1,9,3,,,
524,20,4,23,14,5,21,13,0,3,4,,,
525,6,8,4,24,16,3,11,3,7,2,,,
526,6,19,18,3,5,19,9,2,5,2,,,
527,3,21,16,17,11,4,3,3,1,1,,,
528,13,17,2,23,15,12,5,0,6,2,,,
529,12,5,18,15,19,8,9,1,3,2,,,
530,3,11,15,7,24,8,11,2,8,2,,,
531,2,8,4,8,19,11,22,2,4,4,,,
532,10,15,17,22,18,16,23,1,8,2,,,
533,21,24,4,21,23,20,18,3,8,2,,,
534,10,12b,8,3,12,13,10,3,8,1,L02E012,,
535,7,18,21,8,10,15,11,3,6,2,,,
536,7,7,4,5,21,22,24,2,0,3,,,
537,8b,1,20,14,16,22,21,2,1,1,L01E008,,
